sentid	sentence
aggressive.technician.customer.1.male.txt	The technician told the aggressive customer that he could pay with cash.
aggressive.technician.customer.1.female.txt	The technician told the aggressive customer that she could pay with cash.
aggressive.technician.customer.1.neutral.txt	The technician told the aggressive customer that they could pay with cash.
aggressive.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
aggressive.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
aggressive.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
arrogant.technician.customer.1.male.txt	The technician told the arrogant customer that he could pay with cash.
arrogant.technician.customer.1.female.txt	The technician told the arrogant customer that she could pay with cash.
arrogant.technician.customer.1.neutral.txt	The technician told the arrogant customer that they could pay with cash.
arrogant.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
arrogant.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
arrogant.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
beautiful.technician.customer.1.male.txt	The technician told the beautiful customer that he could pay with cash.
beautiful.technician.customer.1.female.txt	The technician told the beautiful customer that she could pay with cash.
beautiful.technician.customer.1.neutral.txt	The technician told the beautiful customer that they could pay with cash.
beautiful.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
beautiful.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
beautiful.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
brilliant.technician.customer.1.male.txt	The technician told the brilliant customer that he could pay with cash.
brilliant.technician.customer.1.female.txt	The technician told the brilliant customer that she could pay with cash.
brilliant.technician.customer.1.neutral.txt	The technician told the brilliant customer that they could pay with cash.
brilliant.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
brilliant.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
brilliant.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
clean.technician.customer.1.male.txt	The technician told the clean customer that he could pay with cash.
clean.technician.customer.1.female.txt	The technician told the clean customer that she could pay with cash.
clean.technician.customer.1.neutral.txt	The technician told the clean customer that they could pay with cash.
clean.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
clean.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
clean.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
clever.technician.customer.1.male.txt	The technician told the clever customer that he could pay with cash.
clever.technician.customer.1.female.txt	The technician told the clever customer that she could pay with cash.
clever.technician.customer.1.neutral.txt	The technician told the clever customer that they could pay with cash.
clever.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
clever.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
clever.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
cruel.technician.customer.1.male.txt	The technician told the cruel customer that he could pay with cash.
cruel.technician.customer.1.female.txt	The technician told the cruel customer that she could pay with cash.
cruel.technician.customer.1.neutral.txt	The technician told the cruel customer that they could pay with cash.
cruel.technician.someone.1.male.txt	The technician told someone that he could pay with cash.
cruel.technician.someone.1.female.txt	The technician told someone that she could pay with cash.
cruel.technician.someone.1.neutral.txt	The technician told someone that they could pay with cash.
